time_s,simulated_Er_J_m3,analytic_Er_J_m3,simulated_Te_eV,analytic_Te_eV,simulated_Tr_eV,analytic_Tr_eV
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000121e-13,1.511813383754781535e+04,1.529975250087982204e+04,9.937093353642689308e+00,9.936337637285834745e+00,5.761488231398738336e+00,5.778714440931221219e+00
8.000000000000000243e-13,2.819929989999537793e+04,2.851066278464369316e+04,9.882662542520492366e+00,9.881366959673837158e+00,6.733172085589804290e+00,6.751681719234960966e+00
1.200000000000000137e-12,3.952219502476354683e+04,3.992299641192094714e+04,9.835547907406885670e+00,9.833880170410219890e+00,7.326058746900656615e+00,7.344562233083451019e+00
1.600000000000000049e-12,4.932630349201017088e+04,4.978537082852941239e+04,9.794752952763342790e+00,9.792842770798893426e+00,7.743365788378612002e+00,7.761319632888923792e+00
1.999999999999999960e-12,5.781769071668422839e+04,5.831107146628393093e+04,9.759420239151632259e+00,9.757367278867771887e+00,8.057036258812347640e+00,8.074169980404336755e+00
2.399999999999999871e-12,6.517387040134176641e+04,6.568332207467457920e+04,9.728811130981528166e+00,9.726691299486793341e+00,8.301919365231247738e+00,8.318095653303082315e+00
2.799999999999999782e-12,7.154791109264483384e+04,7.205970478237232601e+04,9.702288709104362141e+00,9.700159132465239864e+00,8.497856094833680984e+00,8.513012132201938087e+00
3.199999999999999693e-12,7.707191395209939219e+04,7.757588333663987578e+04,9.679303299787942905e+00,9.677206280130034699e+00,8.657333915948843384e+00,8.671451812573804929e+00
3.599999999999999604e-12,8.185996759238975937e+04,8.234875126623235701e+04,9.659380179624688978e+00,9.657346347800864095e+00,8.788768493141200011e+00,8.801858594566917660e+00
3.999999999999999920e-12,8.601066567225390463e+04,8.647910250601399457e+04,9.642109099804144989e+00,9.640159931304994601e+00,8.898119007428324068e+00,8.910209719297736086e+00
4.399999999999999831e-12,8.960925713460764382e+04,9.005390333055051451e+04,9.627135338959105226e+00,9.625285163447838244e+00,8.989765266568788604e+00,9.000896506009716802e+00
4.799999999999999742e-12,9.272948658402702131e+04,9.314822983519810077e+04,9.614152045343805852e+00,9.612409652142435590e+00,9.067020475895308351e+00,9.077239288725701627e+00
5.199999999999999653e-12,9.543517228191781032e+04,9.582692369087625411e+04,9.602893670786455615e+00,9.601263590803823078e+00,9.132448843610562861e+00,9.141806388533542105e+00
5.599999999999999564e-12,9.778156133653045981e+04,9.814600971954007400e+04,9.593130331735402194e+00,9.591613859808918008e+00,9.188071678722973701e+00,9.196621112026777567e+00
5.999999999999999475e-12,9.981649511567632726e+04,1.001539114621556946e+05,9.584662959969758589e+00,9.583258968510810050e+00,9.235506360738151344e+00,9.243301335797699636e+00
6.399999999999999387e-12,1.015814126406905852e+05,1.018924949522793031e+05,9.577319127471056959e+00,9.576024712090601909e+00,9.276063109620924507e+00,9.283156708608363061e+00
6.799999999999999298e-12,1.031122153727368568e+05,1.033979660280500684e+05,9.570949448042204821e+00,9.569760437836759337e+00,9.310814240133025166e+00,9.317258216721215902e+00
7.199999999999999209e-12,1.044400132014095288e+05,1.047016425197837088e+05,9.565424473244400261e+00,9.564335832067881071e+00,9.340644904771618684e+00,9.346489154833228952e+00
7.599999999999999928e-12,1.055917684525991062e+05,1.058306193513426842e+05,9.560632012676494540e+00,9.559638152641859676e+00,9.366291040339140395e+00,9.371583242296186000e+00
7.999999999999999839e-12,1.065908522064633435e+05,1.068083418362696248e+05,9.556474819132567688e+00,9.555569843467212721e+00,9.388368255211867464e+00,9.393153638291735774e+00
8.399999999999999750e-12,1.074575251704486582e+05,1.076551001742158551e+05,9.552868587686365487e+00,9.552046476900432737e+00,9.407394167466538448e+00,9.411715376662554533e+00
8.799999999999999661e-12,1.082093535368476732e+05,1.083884562167746190e+05,9.549740225305487940e+00,9.548994977970805209e+00,9.423805918137420079e+00,9.427702952558821181e+00
9.199999999999999573e-12,1.088615687499456253e+05,1.090236119647188170e+05,9.547026353858120373e+00,9.546352091061145018e+00,9.437974069300073765e+00,9.441484276651372909e+00
9.599999999999999484e-12,1.094273789063367003e+05,1.095737278885806008e+05,9.544672014374427249e+00,9.544063055373953830e+00,9.450213753281929030e+00,9.453371866205117158e+00
9.999999999999999395e-12,1.099182383328799915e+05,1.100501980038957990e+05,9.542629545331058338e+00,9.542080460341654913e+00,9.460793701172386605e+00,9.463631905257056331e+00
1.039999999999999931e-11,1.103440810740776360e+05,1.104628876578459895e+05,9.540857611108739533e+00,9.540363256194941854e+00,9.469943616725885249e+00,9.472491641181106203e+00
1.079999999999999922e-11,1.107135231109222077e+05,1.108203391318420909e+05,9.539320360558438239e+00,9.538875898449191482e+00,9.477860242561112258e+00,9.480145467561424510e+00
1.119999999999999913e-11,1.110340376021822885e+05,1.111299494673545560e+05,9.537986697821306592e+00,9.537587607970094083e+00,9.484712384775328076e+00,9.486759959438055390e+00
1.159999999999999904e-11,1.113121067175825301e+05,1.113981242905921681e+05,9.536829650549909942e+00,9.536471730908241184e+00,9.490645097780818773e+00,9.492478065053289171e+00
1.199999999999999895e-11,1.115533532451968786e+05,1.116304109084433585e+05,9.535825822289050180e+00,9.535505184886110541e+00,9.495783188238837269e+00,9.497422613172687988e+00
1.239999999999999886e-11,1.117626546746753738e+05,1.118316134786034090e+05,9.534954917774793870e+00,9.534667979774472002e+00,9.500234161899694385e+00,9.501699260547910697e+00
1.279999999999999877e-11,1.119442420877432596e+05,1.120058926888235001e+05,9.534199331450476933e+00,9.533942802926420157e+00,9.504090711419792115e+00,9.505398978653641251e+00
1.319999999999999868e-11,1.121017859206368448e+05,1.121568520336463262e+05,9.533543790608725033e+00,9.533314660179362576e+00,9.507432824619078460e+00,9.508600158741117525e+00
1.359999999999999860e-11,1.122384703029494995e+05,1.122876125012327393e+05,9.532975046067029723e+00,9.532770565082680392e+00,9.510329575576689010e+00,9.511370399157364375e+00
1.399999999999999851e-11,1.123570575468306779e+05,1.124008772325080499e+05,9.532481603827831051e+00,9.532299269850632584e+00,9.512840651314954599e+00,9.513768026829534818e+00
1.439999999999999842e-11,1.124599440547515260e+05,1.124989875010752294e+05,9.532053492445944798e+00,9.531891032429593125e+00,9.515017655287703491e+00,9.515843395350321643e+00
1.479999999999999994e-11,1.125492088218690042e+05,1.125839711864087294e+05,9.531682061209949097e+00,9.531537414800800079e+00,9.516905223221476362e+00,9.517639994751624144e+00
1.519999999999999986e-11,1.126266554932653817e+05,1.126575847433782183e+05,9.531359805141743635e+00,9.531231108344913494e+00,9.518541979544560050e+00,9.519195401798929979e+00
1.559999999999999977e-11,1.126938488516860525e+05,1.127213495496507821e+05,9.531080213170861626e+00,9.530965782600260283e+00,9.519961358817074171e+00,9.520542095099202129e+00
1.599999999999999968e-11,1.127521464552993421e+05,1.127765833783941489e+05,9.530837636489547293e+00,9.530735954304713431e+00,9.521192311767370242e+00,9.521708155021864073e+00
1.639999999999999959e-11,1.128027260974224628e+05,1.128244276557495177e+05,9.530627174292682469e+00,9.530536873977199619e+00,9.522259913414117705e+00,9.522717865493937950e+00
1.679999999999999950e-11,1.128466096087148326e+05,1.128658710674921167e+05,9.530444574736716135e+00,9.530364427690217966e+00,9.523185886720330728e+00,9.523592231920327222e+00
1.719999999999999941e-11,1.128846835225329414e+05,1.129017700017885800e+05,9.530286148950985137e+00,9.530215052007436682e+00,9.523989054608113847e+00,9.524349427247646105e+00
1.759999999999999932e-11,1.129177169868889905e+05,1.129328662576984061e+05,9.530148696505959194e+00,9.530085660298475148e+00,9.524685729801015910e+00,9.525005176537256091e+00
1.799999999999999923e-11,1.129463773097918893e+05,1.129598023797891219e+05,9.530029440728975842e+00,9.529973578931500100e+00,9.525290051684974557e+00,9.525573088620705064e+00
1.839999999999999915e-11,1.129712434496311034e+05,1.129831349400992622e+05,9.529925972570675086e+00,9.529876492006897237e+00,9.525814277533918073e+00,9.526064942338416941e+00
1.879999999999999906e-11,1.129928177113038982e+05,1.130033460444357479e+05,9.529836201937337492e+00,9.529792393479482371e+00,9.526269034177339279e+00,9.526490933745042966e+00
1.919999999999999897e-11,1.130115358979836310e+05,1.130208532957499847e+05,9.529758315449324613e+00,9.529719545700851668e+00,9.526663535813824524e+00,9.526859889594506470e+00
1.959999999999999888e-11,1.130277761151238810e+05,1.130360184251291212e+05,9.529690739807556099e+00,9.529656443505761132e+00,9.527005772441413001e+00,9.527179451846711444e+00
1.999999999999999879e-11,1.130418664103982592e+05,1.130491547681993252e+05,9.529632110003678491e+00,9.529601783102776835e+00,9.527302673022104429e+00,9.527456237170818909e+00
