path_m,numerical_transmission,analytic_transmission
2.209708691207953185e-03,9.544054797336466445e-01,9.933927981098163995e-01
2.430679560328756483e-02,8.898817709880237903e-01,9.296748414595293886e-01
4.640388251536717995e-02,8.297202637161937844e-01,8.700438663208992507e-01
6.850096942744679507e-02,7.736260461397126420e-01,8.142377265305092982e-01
9.059805633952640325e-02,7.213241443389419860e-01,7.620110904397130458e-01
1.126951432516060114e-01,6.884357160212701832e-01,7.131343624021618810e-01
1.347922301636856335e-01,6.418932070207585827e-01,6.673926734390134285e-01
1.568893170757652278e-01,5.984972592657646917e-01,6.245849366446450945e-01
1.789864039878448498e-01,5.580351457700469808e-01,5.845229631803011694e-01
2.010834908999244719e-01,5.203085212063067733e-01,5.470306349694594727e-01
2.231805778120040662e-01,4.851324496171635081e-01,5.119431304579663555e-01
2.452776647240836883e-01,4.630130683112280154e-01,4.791062000352768746e-01
2.673747516361633103e-01,4.317105234290796734e-01,4.483754879314462705e-01
2.894718385482429324e-01,4.025242240336359689e-01,4.196158976088386061e-01
3.115689254603224989e-01,3.753110988513995716e-01,3.927009978587244210e-01
3.336660123724021210e-01,3.499377491111553828e-01,3.675124669918835019e-01
3.557630992844817985e-01,3.262797946230395763e-01,3.439395726797986330e-01
3.778601861965613651e-01,3.042212640667041335e-01,3.218786851597474352e-01
3.999572731086409871e-01,2.903504414767591468e-01,3.012328216637721878e-01
4.220543600207206092e-01,2.707209572398939779e-01,2.819112200687765024e-01
4.441514469328002312e-01,2.524185474494995418e-01,2.638289398934515195e-01
4.662485338448798533e-01,2.353534936715497849e-01,2.469064888879593522e-01
4.883456207569594754e-01,2.194421429926267653e-01,2.310694735748098916e-01
5.104427076690390974e-01,2.046064979532425943e-01,2.162482722046578931e-01
5.325397945811186640e-01,1.952775628356858695e-01,2.023777286892894378e-01
5.546368814931982305e-01,1.820755927542889729e-01,1.893968661662835951e-01
5.767339684052779081e-01,1.697661574398112716e-01,1.772486189361386633e-01
5.988310553173574746e-01,1.582889160260603223e-01,1.658795815934222262e-01
6.209281422294371522e-01,1.475876070623103331e-01,1.552397742490881083e-01
6.430252291415167187e-01,1.376097727196056164e-01,1.452824228118470284e-01
6.651223160535963963e-01,1.313355211484932283e-01,1.359637533626745221e-01
6.872194029656759628e-01,1.224564282529819748e-01,1.272427997184993054e-01
