time_s,simulated_Er_J_m3,analytic_Er_J_m3,simulated_Te_eV,analytic_Te_eV,simulated_Tr_eV,analytic_Tr_eV
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000121e-13,1.511800080929253272e+04,1.529975250087982204e+04,9.937093907174062934e+00,9.936337637285834745e+00,5.761475557161550576e+00,5.778714440931221219e+00
8.000000000000000243e-13,2.820125030410982436e+04,2.851066278464369316e+04,9.882654426877172327e+00,9.881366959673837158e+00,6.733288507504407328e+00,6.751681719234960966e+00
1.200000000000000137e-12,3.952835142682794685e+04,3.992299641192094714e+04,9.835522290580653859e+00,9.833880170410219890e+00,7.326344026658049735e+00,7.344562233083451019e+00
1.600000000000000049e-12,4.933859159199560236e+04,4.978537082852941239e+04,9.794701821904963523e+00,9.792842770798893426e+00,7.743847997456766663e+00,7.761319632888923792e+00
1.999999999999999960e-12,5.783780162385629228e+04,5.831107146628393093e+04,9.759336557545227109e+00,9.757367278867771887e+00,8.057736793437761946e+00,8.074169980404336755e+00
2.399999999999999871e-12,6.520325405367736676e+04,6.568332207467457920e+04,9.728688865426400767e+00,9.726691299486793341e+00,8.302854937566134907e+00,8.318095653303082315e+00
2.799999999999999782e-12,7.158778540182228608e+04,7.205970478237232601e+04,9.702122791862651141e+00,9.700159132465239864e+00,8.499039830820285246e+00,8.513012132201938087e+00
3.199999999999999693e-12,7.712328177766143926e+04,7.757588333663987578e+04,9.679089557955022016e+00,9.677206280130034699e+00,8.658776066827227780e+00,8.671451812573804929e+00
3.599999999999999604e-12,8.192363719808781752e+04,8.234875126623235701e+04,9.659115250010202658e+00,9.657346347800864095e+00,8.790476942041832942e+00,8.801858594566917660e+00
3.999999999999999920e-12,8.608727219060870993e+04,8.647910250601399457e+04,9.641790339617827499e+00,9.640159931304994601e+00,8.900099652382300164e+00,8.910209719297736086e+00
4.399999999999999831e-12,8.969928361853759270e+04,9.005390333055051451e+04,9.626760738214843016e+00,9.625285163447838244e+00,8.992022321966285148e+00,9.000896506009716802e+00
4.799999999999999742e-12,9.283328389671457990e+04,9.314822983519810077e+04,9.613720144097776199e+00,9.612409652142435590e+00,9.069556717611829910e+00,9.077239288725701627e+00
5.199999999999999653e-12,9.555297766378184315e+04,9.582692369087625411e+04,9.602403481879839831e+00,9.601263590803823078e+00,9.135265818587862796e+00,9.141806388533542105e+00
5.599999999999999564e-12,9.791351508150024165e+04,9.814600971954007400e+04,9.592581271404311494e+00,9.591613859808918008e+00,9.191169878920700143e+00,9.196621112026777567e+00
5.999999999999999475e-12,9.996265550953251659e+04,1.001539114621556946e+05,9.584054785686705102e+00,9.583258968510810050e+00,9.238885373031562764e+00,9.243301335797699636e+00
6.399999999999999387e-12,1.017417692160068400e+05,1.018924949522793031e+05,9.576651882791068715e+00,9.576024712090601909e+00,9.279721746406742966e+00,9.283156708608363061e+00
6.799999999999999298e-12,1.032867005771369004e+05,1.033979660280500684e+05,9.570223414051124422e+00,9.569760437836759337e+00,9.314750654004759767e+00,9.317258216721215902e+00
7.199999999999999209e-12,1.046285125964711187e+05,1.047016425197837088e+05,9.564640126121194186e+00,9.564335832067881071e+00,9.344856689673596506e+00,9.346489154833228952e+00
7.599999999999999928e-12,1.057941295716095774e+05,1.058306193513426842e+05,9.559789986836079834e+00,9.559638152641859676e+00,9.370775321028128602e+00,9.371583242296186000e+00
