path_m,numerical_transmission,analytic_transmission
1.562499999999994449e-03,9.544054797336466445e-01,9.953234691820850299e-01
1.718749999999999445e-02,9.108898197456121171e-01,9.497442890891235612e-01
3.281249999999999445e-02,8.693582353988058564e-01,9.062523316150095098e-01
4.843749999999999445e-02,8.297202637161937844e-01,8.647520158771614396e-01
6.406249999999999445e-02,7.918895663367817583e-01,8.251521379602808626e-01
7.968749999999999445e-02,7.557837414557255773e-01,7.873656704804272710e-01
9.531249999999999445e-02,7.213241443389419860e-01,7.513095713277231358e-01
1.109374999999999944e-01,6.884357160212701832e-01,7.169046011673667618e-01
1.265624999999999944e-01,6.570468198150568595e-01,6.840751492978837112e-01
1.421874999999999944e-01,6.270890852730561793e-01,6.527490674839083740e-01
1.578124999999999944e-01,5.984972592657648027e-01,6.228575113983169098e-01
1.734374999999999944e-01,5.712090638488149796e-01,5.943347893252536318e-01
1.890624999999999944e-01,5.451650606108353614e-01,5.671182177915502498e-01
2.046874999999999944e-01,5.203085212063068843e-01,5.411479838092631001e-01
2.203124999999999944e-01,4.965853037914095269e-01,5.163670134265853084e-01
2.359374999999999944e-01,4.739437350937188986e-01,4.927208462982490822e-01
2.515625000000000222e-01,4.523344978588770271e-01,4.701575159997690712e-01
2.671875000000000222e-01,4.317105234290796734e-01,4.486274358224949244e-01
2.828125000000000222e-01,4.120268892193944543e-01,4.280832897984889196e-01
2.984375000000000222e-01,3.932407208685981814e-01,4.084799287157379610e-01
3.140625000000000222e-01,3.753110988513995716e-01,3.897742708951760227e-01
3.296875000000000222e-01,3.581989693486319348e-01,3.719252075114571343e-01
3.453125000000000222e-01,3.418670591812789095e-01,3.548935122494059624e-01
3.609375000000000222e-01,3.262797946230394652e-01,3.386417550976009716e-01
3.765625000000000222e-01,3.114032239145976266e-01,3.231342200896362149e-01
3.921875000000000222e-01,2.972049433108157057e-01,3.083368268122856914e-01
4.078125000000000222e-01,2.836540264997703398e-01,2.942170555080701466e-01
4.234375000000000222e-01,2.707209572398938668e-01,2.807438756076272579e-01
4.390625000000000222e-01,2.583775650684928538e-01,2.678876775348225103e-01
4.546875000000000222e-01,2.465969639416063508e-01,2.556202076347320329e-01
4.703125000000000222e-01,2.353534936715495629e-01,2.439145060814892907e-01
4.859375000000000222e-01,2.246226640345850845e-01,2.327448476295392032e-01
5.015625000000000222e-01,2.143811014269778603e-01,2.220866850780893464e-01
5.171875000000000222e-01,2.046064979532422612e-01,2.119165953245127354e-01
5.328125000000000222e-01,1.952775628356856474e-01,2.022122278881449686e-01
5.484375000000000222e-01,1.863739760394098610e-01,1.929522557913485314e-01
5.640625000000000222e-01,1.778763440117600014e-01,1.841163286898966911e-01
5.796875000000000222e-01,1.697661574398110496e-01,1.756850281496735444e-01
5.953125000000000222e-01,1.620257509338806079e-01,1.676398249714029787e-01
6.109375000000000222e-01,1.546382645492547780e-01,1.599630384696207330e-01
6.265625000000000222e-01,1.475876070623100000e-01,1.526377976163977856e-01
6.421875000000000222e-01,1.408584209210448357e-01,1.456480039644226510e-01
6.578125000000000222e-01,1.344360487936736570e-01,1.389782962679588785e-01
6.734375000000000222e-01,1.283065016424220772e-01,1.326140167239271139e-01
6.890625000000000222e-01,1.224564282529817527e-01,1.265411787589206805e-01
7.046875000000000222e-01,1.224564282529817527e-01,1.207464362913607675e-01
